index,name,place_id,rating,rating_count,tags,address,price_level
870,Steve's Greek Cuisine,ChIJ6z1l3IVw44kRLu8NP0C4dQs,2.6,70,"('restaurant', 'food', 'point_of_interest', 'establishment')","1 Faneuil Hall Square, Boston",1
871,1928 Beacon Hill,ChIJqU8rp9tx44kRzYtYAfD2-k4,4.4,206,"('bar', 'night_club', 'restaurant', 'point_of_interest', 'food', 'establishment')","97 Mt Vernon St, Boston",Unknown
872,Banyan Bar + Refuge,ChIJq_C1aW1644kRdP1okSZCFps,4.3,628,"('restaurant', 'food', 'point_of_interest', 'establishment')","553 Tremont St, Boston",2
873,Penang Malaysian Cuisine,ChIJJ9EcmHd644kRJQ2x_02GSE8,4.2,1453,"('restaurant', 'food', 'point_of_interest', 'establishment')","685 Washington St, Boston",2
874,75 on Liberty Wharf,ChIJBacLCHhw44kR-8yON3ajFas,4.3,1852,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","220 Northern Ave, Boston",3
875,Ruth's Chris Steak House,ChIJa04qjoRw44kR2r2tfLdX2fg,4.4,1300,"('restaurant', 'food', 'point_of_interest', 'establishment')","45 School St, Boston",4
876,Blue Ribbon Sushi,ChIJq-qr5Pd544kRZy2SWrxFoHc,4.5,180,"('restaurant', 'point_of_interest', 'food', 'establishment')","500a Commonwealth Ave, Boston",Unknown
877,MIDA,ChIJrSFKORR644kR7Rnj3V5W4cE,4.5,934,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","782 Tremont St, Boston",2
878,Kikka Sushi Noodle House,ChIJY3WYZXB644kRBHDHhOC3sP4,3.3,3,"('restaurant', 'point_of_interest', 'food', 'establishment')","348 Harrison Ave, Boston",Unknown
879,Pan Asia Restaurant,ChIJV2TokIl644kRgpiX3fPkrbw,3.7,118,"('meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment')","720 E Broadway, Boston",1
880,Nino's Pizza,ChIJS_CU2J5w44kRLZQ2UPO9NRM,3.9,174,"('meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment')","79 Charles St, Boston",1
881,Blue Ribbon Sushi,ChIJq-qr5Pd544kRZy2SWrxFoHc,4.5,180,"('restaurant', 'food', 'point_of_interest', 'establishment')","500a Commonwealth Ave, Boston",Unknown
882,Terra,ChIJVVXF1A9644kRUe_HjlLWs2o,4.0,734,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","800 Boylston St, Boston",3
883,Bon Me,ChIJUc3H-wx644kRYDFL7VdiTEQ,4.2,128,"('cafe', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","441 Stuart St, Boston",1
884,Grotto,ChIJP1sqIptw44kRo1ZP4XC1K6Y,4.5,717,"('restaurant', 'point_of_interest', 'food', 'establishment')","37 Bowdoin St, Boston",3
885,North East of the Border Taqueria at High Street Place,ChIJBys5DrVx44kRcKxMqOJorV4,5.0,2,"('restaurant', 'food', 'point_of_interest', 'establishment')","100 High St suite t12, Boston",2
886,The Smoke Shop BBQ - Seaport,ChIJTcjaA4B644kRh2-kC8-Dq94,4.4,1526,"('restaurant', 'food', 'point_of_interest', 'establishment')","343 Congress St, Boston",2
887,Bon Me,ChIJUc3H-wx644kRYDFL7VdiTEQ,4.2,128,"('cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","441 Stuart St, Boston",1
888,Grotto,ChIJP1sqIptw44kRo1ZP4XC1K6Y,4.5,717,"('restaurant', 'food', 'point_of_interest', 'establishment')","37 Bowdoin St, Boston",3
889,Banh Mi Huong Que,ChIJVywNXKZ744kRYOOCX7XnILI,4.8,104,"('restaurant', 'food', 'point_of_interest', 'establishment')","696 Washington St, Boston",1
890,Megumi of Japan,ChIJb7nX2YVw44kRw1Uf2BAP0Sg,3.9,77,"('restaurant', 'point_of_interest', 'food', 'establishment')","36 Faneuil Hall, S Market St, Boston",Unknown
891,Committee,ChIJlS678X5w44kRj4IogckkDYI,4.4,2073,"('restaurant', 'point_of_interest', 'food', 'establishment')","50 Northern Ave, Boston",3
892,Elephant & Castle,ChIJQYBdkoNw44kRLu3c6_WE5Fg,4.1,1078,"('restaurant', 'food', 'point_of_interest', 'establishment')","161 Devonshire St, Boston",2
893,Mae Asian Eatery,ChIJeUNfQf5x44kRUt5-W3OL-lc,4.6,315,"('restaurant', 'food', 'point_of_interest', 'establishment')","781 Main St, Cambridge",Unknown
894,Fool's Errand,ChIJ372wS9N544kR6KtceoYvcLk,4.5,80,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","1377 Boylston St, Boston",4
895,Blake's Kitchen + Bar,ChIJpy868n9x44kRixnDFgLHJP0,4.2,76,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","276 Friend St, Boston",Unknown
896,Committee,ChIJlS678X5w44kRj4IogckkDYI,4.4,2073,"('restaurant', 'food', 'point_of_interest', 'establishment')","50 Northern Ave, Boston",3
897,Club Café,ChIJy2Q3PHN644kRnvyoxbdcHWU,4.0,1063,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","209 Columbus Ave, Boston",2
898,New York Shawarma Guys,ChIJvxepkFJx44kR4-Zh0PP4l9I,4.6,219,"('restaurant', 'food', 'point_of_interest', 'establishment')","83 Canal St, Boston",2
899,Toscano,ChIJOQ705J5w44kRa5JQK33GQhI,4.5,662,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","47 Charles St, Boston",3
900,Morton's The Steakhouse,ChIJNXY-fIJ644kRkvCieW_y56E,4.5,1004,"('restaurant', 'food', 'point_of_interest', 'establishment')","2 Seaport Ln, Boston",4
901,Maggiano's Little Italy,ChIJ52vRLHR644kRjaD_7vUhhFY,4.5,3928,"('meal_takeaway', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","4 Columbus Ave, Boston",2
902,jm Curley,ChIJ14tHKJ1w44kRjltsmQF3pXM,4.3,1167,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","21 Temple Pl, Boston",2
903,El Pelón Taqueria,ChIJ1SGgo_V544kRmGe2qAAC1x0,4.4,1388,"('restaurant', 'food', 'point_of_interest', 'establishment')","92 Peterborough St, Boston",1
904,Bacco Ristorante & Bar,ChIJvb_1LIlw44kR7M9sutGe0HY,4.4,380,"('restaurant', 'point_of_interest', 'food', 'establishment')","107 Salem St, Boston",Unknown
905,Mama's Place,ChIJEVCJCY9544kRN5QTVkwFfyA,4.3,248,"('meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment')","764 Huntington Ave #6321, Boston",1
906,Mediterranean Grill Boston,ChIJS8iO2YZw44kRwcgdhLDNOMo,4.2,74,"('bakery', 'meal_delivery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment')","281 Franklin St, Boston",2
907,Alcove,ChIJEwM7Uvxx44kRe3sgFO6dGN4,4.1,469,"('restaurant', 'food', 'point_of_interest', 'establishment')","50 Lovejoy Wharf, Boston",2
908,Rock & Rye American Bar,ChIJQ9D5bDF744kR-SbyJ0-jSA4,4.1,281,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","57 Stuart St, Boston",Unknown
909,The Daily Catch North End,ChIJh5s-F4lw44kRVNNe4L7moqU,4.4,1445,"('restaurant', 'point_of_interest', 'food', 'establishment')","323 Hanover St, Boston",2
910,Chipotle Mexican Grill,ChIJRz7MPe9544kRBQRJh08oVgU,3.8,482,"('restaurant', 'food', 'point_of_interest', 'establishment')","876 Commonwealth Ave, Brookline",1
911,Ramsay's Kitchen,ChIJYQmWua9744kRSezMPKC5Wak,4.0,1263,"('restaurant', 'food', 'point_of_interest', 'establishment')","774 Boylston St, Boston",Unknown
912,MIDA,ChIJrSFKORR644kR7Rnj3V5W4cE,4.5,934,"('restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","782 Tremont St, Boston",2
913,Jen Lai Noodle & Rice Co,ChIJq6wCdoZw44kRPJEs88k02HI,2.1,40,"('restaurant', 'point_of_interest', 'food', 'establishment')","1 S Market St, Boston",Unknown
914,Bourbon Street Cafe,ChIJo7uxpI1544kR5YqSGDbDIqs,2.3,23,"('restaurant', 'point_of_interest', 'food', 'establishment')","350 Longwood Ave, Boston",Unknown
915,ilona,ChIJI1g4Bs1744kRO1Lw1UewjgQ,4.5,466,"('restaurant', 'food', 'point_of_interest', 'establishment')","783 Tremont St, Boston",Unknown
