name,rating,price_level,rating_count,tags,address
Cafe sauvage,4.6,2,479.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","25 Massachusetts Ave, Boston"
The Kenmore,4.6,1,182.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","476 Commonwealth Ave, Boston"
Dumpling King,4.6,Unknown,73.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","42 Beach St, Boston"
Cafe Mami,4.6,1,379.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1815 Massachusetts Ave, Cambridge"
Zo Greek Cuisine,4.6,1,219.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","92 State St, Boston"
Brendan Behan Pub,4.6,1,417.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","378 Centre St, Jamaica Plain"
Cósmica,4.6,1,1003.0,"('restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","40 Berkeley St, Boston"
Row 34,4.6,3,3072.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","383 Congress St, Boston"
GRECO,4.6,1,1329.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","225 Newbury St, Boston"
Sakana Sushi,4.6,2,268.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","983 Massachusetts Ave, Cambridge"
Woody's Grill & Tap,4.6,2,505.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","58 Hemenway St, Boston"
Chilacates Mission Hill,4.6,2,292.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1482 A Tremont St, Boston"
Cutty's,4.6,2,436.0,"('cafe', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","284 Washington St, Brookline"
Monument Charlestown Restaurant & Tavern,4.6,2,952.0,"('restaurant', 'bar', 'food', 'point_of_interest', 'establishment')","251 Main St, Boston"
Tora Ramen,4.6,2,453.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","99 Harrison Ave, Boston"
Mei Mei Dumplings,4.6,2,345.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","58 Old Colony Ave, Boston"
Courthouse Seafood,4.6,1,545.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","498 Cambridge St, Cambridge"
Grill 23 & Bar,4.6,4,1722.0,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","161 Berkeley St, Boston"
Tres Gatos,4.6,3,776.0,"('book_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment')","470 Centre St, Jamaica Plain"
No Relation,4.6,Unknown,87.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","11 William E Mullins Way, Boston"
Mangia Mangia North End,4.6,2,119.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","147 Endicott St, Boston"
Tresca,4.6,3,532.0,"('restaurant', 'bar', 'food', 'point_of_interest', 'establishment')","233 Hanover St, Boston"
Teddy's on the Hill,4.6,2,141.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","9 Bowdoin St, Boston"
Parla,4.6,2,883.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","230 Hanover St, Boston"
Boston Shawarma,4.6,1,3747.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","315 Huntington Ave, Boston"
Pita Thyme,4.6,1,158.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","102 Water St, Boston"
Laughing Monk Cafe,4.6,2,762.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","737 Huntington Ave, Boston"
Metropolis,4.6,2,316.0,"('cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","584 Tremont St, Boston"
The Courtyard Tea Room,4.6,2,330.0,"('cafe', 'restaurant', 'food', 'point_of_interest', 'establishment')","700 Boylston St, Boston"
Ocean Prime,4.6,4,2024.0,"('bar', 'night_club', 'restaurant', 'point_of_interest', 'food', 'establishment')","140 Seaport Blvd, Boston"
Troquet on South,4.6,3,371.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","107 South St, Boston"
Liuyishou Hotpot Boston,4.6,2,1256.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","702 Washington St, Boston"
JiangNan Boston,4.6,4,308.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","177 Tremont St, Boston"
Monica's Mercato,4.6,2,791.0,"('liquor_store', 'grocery_or_supermarket', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","130 Salem St, Boston"
The Joint,4.6,2,296.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","605 Centre St, Jamaica Plain"
Bangkok Pinto,4.6,1,260.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1041 Tremont St, Boston"
Crispy Crepes Cafe,4.6,Unknown,214.0,"('restaurant', 'food', 'store', 'point_of_interest', 'establishment')","714 Commonwealth Ave, Boston"
Pescador,4.6,4,131.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","498 Commonwealth Ave, Boston"
Red's Best Fish Market,4.6,Unknown,177.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","Public Market, 100 Hanover St, Boston"
New York Shawarma Guys,4.6,2,219.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","83 Canal St, Boston"
Audubon,4.6,2,684.0,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","838 Beacon St, Boston"
North Street Grille,4.6,2,1412.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","229 North St, Boston"
Lilly's Gourmet Pasta Express,4.6,2,426.0,"('restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment')","1528 Tremont St, Boston"
The Capital Grille,4.6,4,1212.0,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","900 Boylston St, Boston"
Matsunori Handroll Bar,4.6,Unknown,151.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","900 Beacon St Unit A, Boston"
Publico Street Bistro & Garden,4.6,2,462.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","11 Dorchester St, Boston"
Bricco Salumeria & Pasta Shop,4.6,2,248.0,"('grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","11 Board Alley, Boston"
The Haven,4.6,2,898.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","JPNDC Brewery Complex, The Haven, 284 Amory St, Jamaica Plain"
Pho Viet’s,4.6,1,404.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1022 Commonwealth Ave, Boston"
The Friendly Toast,4.6,2,4623.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","35 Stanhope St, Boston"
Boston Sail Loft,4.6,2,4059.0,"('bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment')","80 Atlantic Ave, Boston"
Mae Asian Eatery,4.6,Unknown,315.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","781 Main St, Cambridge"
Cafe Sushi Shoten,4.6,2,936.0,"('grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","1105 Massachusetts Ave, Cambridge"
Rino's Place,4.6,2,1200.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","258 Saratoga St, Boston"
